0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:39 +0900] "GET /Skt/touristRank.mp HTTP/1.1" 200 15809
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:41 +0900] "GET /Skt/board.bo?cpage=1 HTTP/1.1" 200 17109
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:41 +0900] "GET /Skt/views/common/css/footer.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:41 +0900] "GET /Skt/views/board/img/boardMain.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:43 +0900] "GET /Skt/detail.bo?bno=23 HTTP/1.1" 200 16898
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:43 +0900] "GET /Skt/resource/board_upfile/boardFile_1728876111722.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:43 +0900] "GET /Skt/views/common/css/footer.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:49 +0900] "GET /Skt/insertComment.bo?content=%EB%8C%93%EA%B8%80 HTTP/1.1" 200 18029
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:49 +0900] "GET /Skt/views/common/css/footer.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:55 +0900] "GET /Skt/board.bo?cpage=1 HTTP/1.1" 200 17109
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:55 +0900] "GET /Skt/views/common/css/footer.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:57 +0900] "GET /Skt/createMyCourseToPage.mc HTTP/1.1" 200 21768
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:57 +0900] "GET /Skt/mycourse.css HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:57 +0900] "GET /Skt/mycourse.js HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:57 +0900] "GET /Skt/views/common/css/footer.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:57 +0900] "GET /Skt/views/sub/img/plusImg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:47:00 +0900] "GET /Skt/course.c?cpage=1 HTTP/1.1" 200 22746
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:47:00 +0900] "GET /Skt/views/course/css/sub_course.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:47:00 +0900] "GET /Skt/views/course/js/sub_course-area.js?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:47:00 +0900] "GET /Skt/views/sub2_TF/img/Like.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:47:00 +0900] "GET /Skt/views/common/css/footer.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:47:00 +0900] "GET /Skt/views/course/img/courseThumbnail/images%20(1).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:47:00 +0900] "GET /Skt/views/course/img/courseThumbnail/images%20(2).jpg HTTP/1.1" 304 -
